social_interaction_level;gender;platform_usage;depresión;sleep_hours;screen_time_before_sleep;academic_performance;physical_activity;stress_level;anxiety_level;addiction_level;;age;daily_social_media_hours
medium;female;Both;no;6.9;1.4;2.87;1.5;2;6;3;;13;2.7
high;male;TikTok;no;6.9;1;3.22;0.8;4;6;1;;18;6.3
medium;female;Instagram;no;6.9;2.9;2.48;0.9;8;4;8;;15;6.4
medium;female;Instagram;no;6.9;2.2;2.36;1.6;4;2;8;;17;8
low;female;Both;no;6.9;2.3;3.11;0.1;7;1;9;;18;2.8
high;male;Instagram;no;6.9;2.1;3.42;1.1;10;3;6;;14;7
high;female;TikTok;no;6.9;2.7;2.53;1.7;2;2;7;;17;1.8
high;female;TikTok;no;6.9;1.6;2.08;0.7;9;9;9;;13;3.5
low;male;Instagram;no;6.9;2.1;2.32;1.1;3;4;10;;16;7.2
low;female;Both;no;7;2.8;2.8;0.1;8;2;8;;14;3.9
low;female;TikTok;no;7;0.9;3.48;1.1;2;2;6;;15;7.5
medium;female;TikTok;no;7;2.2;2.61;0.7;2;7;8;;15;6.7
medium;male;Instagram;no;7;1.8;2.69;0.9;10;4;2;;14;1.4
low;female;TikTok;no;7;0.9;2.73;1.7;5;6;9;;13;3
high;female;Both;no;7;1.9;4;0.9;2;9;6;;13;1.1
low;female;Both;no;7;2.3;3;1.6;3;5;10;;19;5.9
low;male;TikTok;no;7;1.8;2.54;0.1;1;4;4;;15;5.4
low;female;Both;no;7;1.3;3.86;0.9;7;8;4;;17;7.2
medium;female;Both;no;7;1.8;2.17;1.4;9;10;5;;13;7.4
high;male;Instagram;no;7;1.9;2.58;0.4;5;7;3;;14;5.6
high;female;Instagram;no;7;1.1;2.12;0.9;4;8;1;;14;4.2
medium;male;TikTok;no;7;2.2;3.83;0.8;6;10;5;;14;1.2
high;female;Instagram;no;7;1.4;2.05;0.4;10;9;5;;18;3.7
medium;male;Both;no;7;2.7;3.97;1;1;8;8;;14;6.1
low;male;Instagram;no;7;2.9;3.91;1.1;9;9;1;;18;2.8
medium;female;TikTok;no;7;1.5;3.16;1.7;4;7;10;;15;4.5
low;male;TikTok;no;7;0.8;3.39;0.9;7;7;10;;17;1.7
medium;female;Instagram;no;7;2.3;3.74;0.7;8;4;7;;14;7.2
low;male;Both;no;7;0.8;2.29;1.6;6;8;1;;16;5.9
low;female;Both;no;7;2.7;2.89;1.8;1;1;2;;18;4.5
low;female;Both;no;7;2.7;3.9;1;1;2;10;;18;7.9
medium;female;Instagram;no;7;1.6;2.74;0.9;3;2;9;;14;4.6
low;male;Instagram;no;7;2.7;2.07;0.5;6;4;10;;19;1.7
low;male;TikTok;no;7;2.2;2.07;1;3;7;1;;16;7.3
medium;female;Instagram;no;7.1;0.9;3.26;1.6;7;5;9;;19;2
low;female;Both;no;7.1;2.2;3.43;0.2;5;2;2;;13;6.2
medium;female;Instagram;no;7.1;1.8;2.55;0.8;5;5;10;;13;1.1
medium;female;Both;no;7.1;0.6;3.36;0.7;7;6;9;;16;4.8
medium;male;Both;no;7.1;2.4;3.82;0.8;3;6;10;;17;3.9
medium;female;Both;no;7.1;0.9;2.98;0.1;1;6;5;;19;6
high;male;Instagram;no;7.1;0.8;2.79;1.4;9;4;2;;17;7.8
medium;male;Both;no;7.1;0.7;3.64;1.1;6;5;5;;13;2.4
low;female;TikTok;no;7.1;2.1;2.21;1.8;4;1;3;;15;4.2
medium;female;Instagram;no;7.1;1.1;3.72;1.5;9;6;6;;15;5.8
high;male;Instagram;no;7.1;1.4;3.85;0.4;7;9;8;;16;2.8
low;female;TikTok;no;7.1;2.5;2.68;1.6;3;5;7;;17;5.4
low;male;Both;no;7.1;2.5;3.81;0.9;6;9;4;;19;3.8
medium;male;Instagram;no;7.1;0.8;2.47;1.9;4;2;4;;18;1
low;male;TikTok;no;7.1;2.5;3.91;1.5;6;8;9;;19;4.2
high;male;TikTok;no;7.1;1.7;2.5;1.8;10;4;5;;14;3.7
low;female;TikTok;no;7.1;2.3;3.22;0.5;4;3;7;;19;6.1
medium;male;Instagram;no;7.1;1.9;2.35;1.1;4;4;8;;19;2.5
medium;female;TikTok;no;7.1;1.1;2.5;1.5;2;1;2;;17;2.2
high;female;Both;no;7.1;2.9;3.26;0.6;6;10;4;;16;6.8
low;male;Both;no;7.1;0.5;3.08;0.2;2;9;7;;15;3.8
high;female;Instagram;no;7.1;0.9;2.84;0.3;1;9;4;;15;3.6
high;female;TikTok;no;7.1;0.7;2.8;0.3;6;8;8;;13;7.9
high;female;Instagram;no;7.1;1.6;3.97;0.7;10;7;3;;18;2.5
medium;male;Both;no;7.1;1.9;2.87;1.7;5;8;6;;18;5.2
high;female;Instagram;no;7.1;1.1;2.07;1.9;3;2;6;;17;7.6
high;female;Both;no;7.2;2.6;2.02;1.7;5;7;6;;16;6.2
high;female;Instagram;no;7.2;2.5;2.15;1.3;4;6;2;;13;1.5
medium;male;TikTok;no;7.2;1;3.13;0.6;2;1;4;;18;1.1
low;male;Instagram;no;7.2;1.5;2.36;0.2;1;3;4;;13;6
medium;female;TikTok;no;7.2;2.5;3.61;0.5;10;1;9;;16;6.8
medium;male;TikTok;no;7.2;1.8;2.91;0.2;5;5;4;;15;2.8
high;female;Both;no;7.2;1.7;2.76;0;10;7;10;;14;1.5
medium;male;Both;no;7.2;1.5;2.36;0.2;2;6;8;;13;7.9
low;male;Both;no;7.2;0.9;3.99;1.7;7;9;3;;19;5.9
medium;female;Instagram;no;7.2;0.5;2.78;1.9;7;3;9;;16;7.3
low;male;Both;no;7.2;0.6;3.34;1.8;2;6;2;;17;3.7
low;male;Instagram;no;7.2;0.5;2.38;1.2;10;4;8;;17;2.2
low;female;TikTok;no;7.2;0.6;3.98;1.7;6;1;5;;16;2.7
medium;female;Instagram;no;7.2;2;3.96;1.5;9;10;4;;14;2.9
high;female;Instagram;no;7.2;1.3;3.31;0.8;9;2;4;;13;7.8
low;male;Instagram;no;7.2;1.2;3.32;1.3;7;8;1;;15;5.4
low;male;Instagram;no;7.2;0.6;2.11;1.1;1;3;6;;13;6
medium;female;Instagram;no;7.2;2.9;3.27;0.8;5;2;9;;15;2.7
high;female;TikTok;no;7.2;2.4;2.18;1.6;5;1;7;;15;5.7
high;female;TikTok;no;7.2;1.1;2.29;1.9;8;5;9;;16;6.8
low;female;TikTok;no;7.2;1.8;2.11;1.4;3;7;3;;16;7.4
medium;female;Instagram;no;7.2;1.1;2.69;0.4;7;3;7;;13;5.8
low;male;Both;no;7.2;2.7;2.06;1.4;3;1;4;;17;4.7
low;female;Instagram;no;7.2;1.1;3.69;1;4;6;3;;13;7.1
high;male;TikTok;no;7.3;1.6;3.27;0.1;10;2;1;;13;6.6
medium;female;Both;no;7.3;1.1;3.1;1.6;1;6;2;;16;4.2
low;male;TikTok;no;7.3;1.8;3.13;2;7;9;7;;18;7.7
high;female;TikTok;no;7.3;1.6;2.91;0.4;10;5;7;;13;4.6
low;male;TikTok;no;7.3;2.7;3.3;1.1;2;1;9;;14;4.4
medium;female;Instagram;no;7.3;2.7;2.61;0.9;5;7;10;;19;1.5
low;female;Instagram;no;7.3;1.4;2.61;1.2;5;7;1;;14;5.5
low;female;TikTok;no;7.3;0.9;2.34;0.9;7;3;8;;17;4.5
low;male;Instagram;no;7.3;2.8;3.22;0.6;1;3;6;;18;4.6
medium;male;Both;no;7.3;2.3;2.8;1.5;4;6;5;;14;2.3
low;female;Instagram;no;7.3;1.9;2.51;1.4;10;4;2;;15;5.3
medium;female;TikTok;no;7.3;2.8;2.26;1.4;7;6;8;;19;6.7
medium;female;TikTok;no;7.3;1.9;3.83;0.4;8;9;9;;17;5
high;male;Both;no;7.3;2.5;3.67;0.5;4;3;6;;15;5.5
medium;male;Both;no;7.3;2.8;2.46;0.3;2;7;5;;15;7.3
low;male;Instagram;no;7.3;2;3.98;0.9;6;6;1;;19;5.4
low;female;TikTok;no;7.3;1.9;2.76;0.9;2;10;1;;15;4.8
low;female;Both;no;7.3;1;2.36;1.1;5;3;6;;16;1.2
high;male;Instagram;no;7.3;2.6;3.2;0.2;7;1;3;;17;4.2
low;male;Both;no;7.3;1.9;3.05;1.1;10;8;1;;17;7.6
medium;female;Instagram;no;7.3;2.8;3.3;0.4;1;8;1;;18;7.3
high;female;TikTok;no;7.3;2.9;2.99;1.2;4;8;10;;17;7.6
medium;male;Instagram;no;7.3;1.2;3.39;0.7;9;10;8;;17;5
low;female;TikTok;no;7.3;1.7;3.33;0.9;7;4;9;;18;5.2
high;female;TikTok;no;7.4;2.9;3.01;1.5;2;2;1;;14;7.9
high;female;TikTok;no;7.4;2.4;2.38;1.5;8;4;9;;18;4.1
high;male;Both;no;7.4;1.8;3.47;0;9;4;2;;18;7.5
low;female;Both;no;7.4;1.2;2.5;1.8;2;5;2;;19;2.4
low;female;Instagram;no;7.4;2.2;3.42;0.1;8;9;6;;13;7.2
medium;male;Both;no;7.4;1.2;3.41;1.1;6;3;7;;17;5.3
low;male;TikTok;no;7.4;1.5;2.92;0.6;9;2;5;;18;6.4
low;female;Instagram;no;7.4;0.5;2.32;1.3;3;2;6;;13;1.4
medium;male;Both;no;7.4;1.3;3.5;1.6;1;5;5;;18;5.1
medium;male;TikTok;no;7.4;1;3.73;1.9;7;3;6;;18;2.8
medium;male;TikTok;no;7.4;0.7;2.64;0.2;5;8;1;;15;5.1
medium;female;TikTok;no;7.4;0.7;2.54;1.2;10;4;9;;16;7.8
high;female;TikTok;no;7.4;1.9;2.22;1.1;10;10;2;;16;6.5
low;female;TikTok;no;7.4;2.9;3.54;1.1;8;4;10;;14;5.5
medium;male;Instagram;no;7.4;2.2;2.63;0.6;7;4;9;;17;6.6
medium;female;TikTok;no;7.4;1.7;2.76;1.1;10;1;4;;13;7.8
medium;female;Both;no;7.4;0.6;3.38;1.5;4;7;9;;17;6.2
low;male;Both;no;7.4;0.7;3.27;1.7;1;9;9;;19;5.9
medium;male;Both;no;7.4;0.9;3.7;1.3;10;6;2;;16;7.4
low;female;Both;no;7.4;2;3.4;1.6;4;1;1;;16;2.8
low;male;Instagram;no;7.4;2.5;3.74;0.3;5;8;3;;19;3.9
high;female;Both;no;7.4;2.7;3.41;1.4;9;4;7;;19;4
medium;female;Both;no;7.4;2.3;3.76;0.8;9;5;8;;16;1.8
high;female;Both;no;7.4;1.7;2.88;0.6;6;10;9;;19;5.4
medium;male;Instagram;no;7.4;1.7;2.5;0.7;6;7;1;;17;5.9
high;female;TikTok;no;7.4;1.5;2.84;1;9;8;5;;19;7.3
high;male;Instagram;no;7.4;2.6;2.25;0.5;7;4;8;;19;3.8
low;female;TikTok;no;7.4;2.7;2.92;1.4;3;7;4;;15;1.2
medium;male;Both;no;7.4;0.9;2.53;0.2;4;10;6;;13;3.3
low;male;Instagram;no;7.4;2.8;3.28;1.5;7;5;4;;19;4.4
high;female;TikTok;no;7.4;2.6;2.92;1;10;6;3;;16;7
low;female;Both;no;7.4;2;2.8;1.8;9;8;10;;19;5.5
medium;male;Both;no;7.4;2.5;3.93;0.8;4;4;8;;13;5.2
medium;female;TikTok;no;7.4;2;3.76;1.7;10;1;4;;17;7.4
medium;male;Instagram;no;7.5;2.3;2.39;0.9;4;1;4;;18;7.4
low;female;Both;no;7.5;2.7;2.29;0.8;1;10;1;;13;4.3
low;male;Both;no;7.5;0.9;2.62;2;3;1;9;;18;2.9
high;male;Both;no;7.5;1.4;2.58;1.2;6;2;8;;13;5.9
medium;male;Instagram;no;7.5;2.4;2.84;1.3;10;10;2;;15;5.7
medium;male;Both;no;7.5;2.2;2.95;1.6;9;7;4;;17;2.2
low;male;TikTok;no;7.5;1.7;3.16;1.8;2;3;2;;16;7.4
low;male;Both;no;7.5;1.3;2.99;1.4;1;5;2;;15;1.3
medium;male;Instagram;no;7.5;1.9;2.08;0.1;2;1;3;;19;5.8
medium;female;Both;no;7.5;0.6;2.25;1;4;7;4;;18;2.9
low;female;Instagram;no;7.5;0.5;2.18;1;5;2;2;;14;3.8
low;male;TikTok;no;7.5;1.4;3.42;1.7;5;6;3;;17;2.9
high;male;Instagram;no;7.5;1.8;2.35;1.4;3;8;6;;19;2.4
low;female;Both;no;7.5;1.1;2.06;1.8;5;7;2;;15;4.3
high;female;TikTok;no;7.5;2;2.77;0.9;10;4;4;;18;7.9
low;male;TikTok;no;7.5;1.4;3.14;2;2;9;2;;18;7.5
low;male;Instagram;no;7.5;2.7;2.66;1.6;5;10;5;;19;4.1
high;male;TikTok;no;7.5;1.4;3.85;1.6;10;8;7;;14;1.3
low;male;Instagram;no;7.5;1;2.68;1.5;9;4;6;;19;4.8
high;male;TikTok;no;7.5;2.1;3.24;0.9;4;3;2;;16;3.9
medium;female;TikTok;no;7.5;2.2;3.65;1.4;4;4;8;;18;5.8
medium;male;Instagram;no;7.5;1.5;3.23;1.4;5;7;3;;17;2.7
low;female;TikTok;no;7.5;1.4;3.19;1.8;6;1;7;;15;2.2
low;female;TikTok;no;7.5;2.8;3.53;0.9;3;1;5;;16;2.7
medium;female;TikTok;no;7.5;2.5;3.14;0.5;9;6;10;;16;6.1
medium;male;Instagram;no;7.5;1.1;3.61;0.1;4;6;7;;15;5.2
medium;male;Both;no;7.5;1.4;2.24;0.1;5;3;3;;13;7.7
high;male;Instagram;no;7.5;1.7;3.12;2;1;4;9;;13;4.1
medium;female;Both;no;7.6;0.5;3.92;0;2;4;2;;17;1.3
medium;male;Instagram;no;7.6;1;3.85;0.8;8;4;6;;14;1.2
low;male;TikTok;no;7.6;0.5;2.96;1.7;9;8;7;;18;2.3
medium;female;Instagram;no;7.6;0.7;2.83;1;7;6;8;;17;5.8
high;female;Both;no;7.6;2.7;2.36;1.2;5;10;3;;15;7.6
medium;female;TikTok;no;7.6;2.4;3.59;0.4;9;5;5;;17;6.7
medium;male;Instagram;no;7.6;1.4;2.72;0.9;9;3;3;;14;6.1
medium;male;Both;no;7.6;2;3.94;0.5;4;3;3;;18;5
medium;male;TikTok;no;7.6;1.8;2.52;1.4;1;4;3;;15;5
low;male;Both;no;7.6;2.9;3.81;0.5;10;3;6;;18;7.7
high;male;TikTok;no;7.6;1.3;3.89;1.5;4;5;8;;19;5.2
high;female;Instagram;no;7.6;0.6;3.46;1.9;1;1;4;;15;1.3
medium;male;TikTok;no;7.6;2.5;2.37;1.9;1;8;7;;15;2.7
medium;male;Instagram;no;7.6;2.8;3.1;0.7;3;1;2;;14;7.5
high;male;Both;no;7.6;1.9;2.31;0.8;8;7;5;;15;7.3
high;male;Instagram;no;7.6;1.2;2.84;1.1;10;1;3;;14;1.8
high;male;Both;no;7.6;2.4;2.24;1.1;1;5;5;;16;7.6
low;male;TikTok;no;7.6;1.2;3.2;1;4;8;6;;16;3.7
low;female;Both;no;7.6;1;2.17;1.1;4;5;1;;15;4.1
low;male;TikTok;no;7.6;1.8;3.19;1.7;2;6;6;;18;7.5
low;male;Instagram;no;7.7;1.4;3.42;0.3;6;1;8;;14;7.3
medium;male;TikTok;no;7.7;0.7;2.22;0.4;10;8;7;;19;2.7
low;female;Instagram;no;7.7;2.5;2.56;1.7;8;7;6;;16;7.2
medium;female;Instagram;no;7.7;1;2.1;1.8;7;4;5;;17;3.9
low;male;TikTok;no;7.7;0.5;3.05;1.2;3;1;2;;18;6.4
high;male;Instagram;no;7.7;2.2;3.77;0.3;4;6;7;;19;1.8
low;male;Both;no;7.7;1.4;2.86;1.7;3;5;1;;14;3.9
low;female;Both;no;7.7;1.1;2.27;1.1;3;2;4;;16;2.1
low;male;TikTok;no;7.7;0.9;2.61;1.1;9;10;4;;15;4.5
low;female;Both;no;7.7;1.9;2.27;1.5;7;2;2;;14;1.3
high;male;Both;no;7.7;1;3.73;0.5;6;10;1;;15;2.8
medium;male;Instagram;no;7.7;1.2;3.7;0.1;6;3;9;;18;7.2
high;male;TikTok;no;7.7;0.7;3.45;1;2;8;9;;17;3.8
medium;male;Both;no;7.7;2.7;2.84;0.8;2;5;5;;13;5.2
low;male;Both;no;7.7;2.1;2.33;1.7;2;8;7;;13;2.2
medium;male;TikTok;no;7.7;0.7;3.86;1.5;10;2;7;;15;6.4
high;female;Instagram;no;7.7;1.9;2.24;0.6;8;10;5;;16;7.1
high;male;Instagram;no;7.7;2.2;3.72;1.4;1;5;8;;17;3.1
high;female;Both;no;7.8;2.8;3.83;1.8;6;6;4;;16;3.4
medium;female;Instagram;no;7.8;2.1;3.29;1.5;8;1;7;;17;2.1
medium;female;Both;no;7.8;2.1;2.26;0.3;7;7;5;;16;1.9
low;male;Both;no;7.8;1.5;3.26;0.8;9;2;3;;14;6.5
high;male;Both;no;7.8;1.1;3.81;1.4;10;4;2;;14;7
high;male;Both;no;7.8;2.6;3.01;0.3;2;9;10;;13;1.3
low;male;Both;no;7.8;3;2.3;1.4;4;9;10;;15;2.3
low;male;Both;no;7.8;1.8;3.46;1;4;7;7;;13;5.4
low;male;Both;no;7.8;1.5;2.79;0.7;9;10;7;;15;5.5
high;female;TikTok;no;7.8;1.3;2.73;1.5;4;5;8;;16;7.5
low;male;TikTok;no;7.8;0.6;3.42;1.6;10;4;6;;13;1.4
high;female;Both;no;7.8;2.8;2.1;0.6;2;6;8;;16;2
low;female;Instagram;no;7.8;0.7;2.6;0.7;4;4;2;;15;6.4
low;female;Both;no;7.8;1.9;3.15;0.4;8;3;2;;18;2.6
low;female;TikTok;no;7.8;1.1;2.03;1.1;3;10;6;;17;7.3
medium;male;Instagram;no;7.8;0.5;2.81;1.4;10;2;4;;16;2
low;female;Instagram;no;7.8;1.8;3.9;1.4;5;8;9;;15;2.7
low;female;TikTok;no;7.8;2;2.67;0.8;4;6;3;;18;1.8
medium;male;Instagram;no;7.8;0.7;3.46;1.3;5;10;6;;18;3.2
low;female;TikTok;no;7.8;0.5;3.92;0.7;3;4;8;;14;4.3
medium;male;TikTok;no;7.8;1.4;3.43;0.9;1;4;6;;13;2.5
high;female;TikTok;no;7.8;1;2.91;0.8;9;7;5;;19;7.3
medium;female;Both;no;7.8;0.6;3.61;1.7;2;7;9;;19;4
medium;male;Instagram;no;7.9;1.3;3.97;0.2;7;10;9;;13;3.8
low;male;Instagram;no;7.9;1.4;2.38;0.1;7;9;1;;18;4.5
medium;female;Instagram;no;7.9;1.9;2.56;0.1;4;9;9;;16;4
high;female;Instagram;no;7.9;2.7;3.11;0.3;6;6;5;;18;3.7
high;female;Both;no;7.9;0.8;3.55;1.9;10;8;6;;15;7.6
medium;male;Both;no;7.9;1.2;2.85;0.7;2;2;5;;16;3.1
high;male;Both;no;7.9;1.7;2.85;0.3;1;1;2;;18;6.3
low;male;TikTok;no;7.9;2.7;3.76;0.1;10;7;2;;13;4.2
medium;female;Both;no;7.9;1.4;3.91;0.4;3;3;1;;17;6.7
medium;female;Instagram;no;7.9;1.8;2.85;1.1;5;7;1;;13;1.5
medium;female;Both;no;7.9;2.9;2.54;0.7;5;8;7;;14;4.7
low;male;TikTok;no;7.9;2.4;2.81;1.9;10;6;6;;16;2
medium;male;Both;no;7.9;2;3.91;0.6;7;3;10;;16;5.6
low;male;TikTok;no;7.9;2.3;2.43;0.1;5;1;6;;18;2.6
low;female;TikTok;no;7.9;3;2.54;1.2;8;8;1;;13;7.6
high;female;Instagram;no;7.9;1.2;2.75;1.9;5;8;3;;18;2.7
low;male;TikTok;no;7.9;2.1;3.52;0.6;3;2;4;;19;3.9
high;male;Instagram;no;7.9;1.8;3.91;0.5;4;5;6;;15;2.6
high;female;Both;no;7.9;1.2;3.24;1.6;6;10;5;;14;3.8
low;male;Both;no;8;2.9;3.22;0.8;8;1;10;;19;1.9
low;male;TikTok;no;8;3;2.31;0.8;8;4;1;;14;4.1
high;female;TikTok;no;8;2;2.84;1.8;1;7;8;;17;1.3
medium;male;Instagram;no;8;2.6;3.53;1.9;1;8;7;;17;2.7
high;female;Instagram;no;8;2.5;3.08;1.7;5;6;7;;14;2.3
high;female;Both;no;8;1.7;3.12;0.1;6;4;2;;18;1.2
low;female;Both;no;8;2.7;2.04;0.1;7;10;2;;18;1.1
high;female;Instagram;no;8;2;3.25;0.7;9;10;2;;13;7.5
medium;male;Both;no;8;1.3;2.5;1.1;2;7;5;;14;3.2
low;male;Instagram;no;8;2.8;3.21;1.6;2;8;8;;13;5.9
low;female;Instagram;no;8;1.4;3.64;0.4;10;5;7;;15;7.2
low;male;Instagram;no;8;2.2;2.21;1;10;8;10;;17;6.6
high;male;Both;no;8;1.7;2.29;1.4;2;1;10;;18;4.1
low;male;Instagram;no;8;2.9;2.59;1.2;10;8;5;;18;7.1
high;female;Both;no;8;2.8;3.49;0.6;9;8;8;;15;1.8
high;female;Instagram;no;8;1.5;3.45;1;4;3;9;;18;4.5
medium;male;Both;no;8;1.9;2.66;1.4;5;8;6;;17;7.2
high;male;Both;no;8;2.8;2.18;1.1;5;8;5;;13;1.2
medium;male;TikTok;no;8;0.7;2.18;0.6;4;7;5;;16;1.5
low;male;TikTok;no;8;1.6;3.47;1.5;3;5;6;;16;7.9
high;female;TikTok;no;8;1;2.31;1;4;7;6;;15;3.4
medium;male;TikTok;no;8;1.3;3.78;1.1;1;6;5;;15;7.7
high;female;Instagram;no;8;1.6;2.64;0.1;3;3;3;;14;6.9
medium;female;Instagram;no;8;2.5;3.4;0.1;5;2;1;;18;5.7
high;male;Both;no;8;2.5;3.54;1.8;4;8;3;;19;1.4
medium;female;Both;no;8;0.5;3.01;0.4;10;2;3;;17;1.5
low;female;TikTok;no;8;1.1;2.37;0.2;5;10;6;;13;4.7
medium;female;TikTok;no;8;2;3.04;1.4;3;1;8;;18;4
medium;female;Instagram;no;8;1.9;2.86;0.4;4;8;5;;17;6.6
low;female;Both;no;8;1.9;3.45;1.5;10;4;1;;15;3.5
high;female;Instagram;no;8;2.4;2.95;0;2;10;3;;18;5.6
high;female;TikTok;no;8;1.9;2.12;0.4;7;4;4;;16;2.3
medium;male;TikTok;no;8.1;2;3.89;1.3;8;2;2;;15;6.5
low;male;Instagram;no;8.1;2.1;2.01;0.4;4;8;8;;15;4
medium;male;Instagram;no;8.1;2.3;2.21;0.4;8;8;6;;19;6.5
medium;female;TikTok;no;8.1;1.6;3.72;1.2;1;2;1;;18;4.5
low;male;Both;no;8.1;2;3.33;1.5;7;3;8;;15;1.2
high;female;Both;no;8.1;2.5;3.56;1.2;6;8;10;;15;7.5
medium;female;Both;no;8.1;3;2.75;0.7;6;3;4;;19;5.6
medium;female;Instagram;no;8.1;1.8;2.53;0.9;5;8;8;;14;5.4
high;female;TikTok;no;8.1;1.4;3.27;1.6;10;1;4;;16;6.1
medium;female;Both;no;8.1;1.2;2.13;1;1;8;7;;17;8
low;male;TikTok;no;8.1;1.4;2.66;1.9;9;4;2;;19;4.2
low;female;Instagram;no;8.1;2.3;3.46;1.3;5;4;9;;15;6.2
low;male;Instagram;no;8.1;2.1;2.67;1.7;9;10;10;;16;5.2
medium;male;Instagram;no;8.1;2.5;2.7;1.7;4;5;7;;16;8
high;male;TikTok;no;8.1;2.8;2.58;0.5;2;2;3;;17;7.5
medium;female;Both;no;8.1;2;3.59;1.6;9;4;3;;18;6.6
low;female;TikTok;no;8.1;2.1;2.52;0.4;3;3;7;;13;7.2
low;female;Both;no;8.2;1.5;2.45;0.3;5;8;6;;13;3.1
high;male;Instagram;no;8.2;0.8;2.36;0;10;10;7;;17;6.9
low;male;TikTok;no;8.2;0.7;2.94;0.7;10;7;9;;15;1.1
low;male;Both;no;8.2;1.3;3.21;1.8;3;7;7;;17;3.9
low;female;Both;no;8.2;1.8;2.26;1;7;4;7;;19;4.7
high;female;Instagram;no;8.2;2.2;3.36;1.7;9;5;10;;14;1.8
low;male;Both;no;8.2;0.9;2.48;0.5;2;7;6;;13;2.1
medium;female;TikTok;no;8.2;2.8;2.12;1.4;1;8;1;;13;5.2
high;female;Both;no;8.2;1.7;2.32;1.4;9;2;4;;14;4.1
high;female;Instagram;no;8.2;1.5;3.98;1.4;9;6;6;;13;4.4
high;male;Instagram;no;8.2;2.4;3.25;0.1;1;1;8;;16;2.1
medium;male;TikTok;no;8.2;2.7;3.04;0.3;1;3;4;;16;4.7
medium;male;Instagram;no;8.2;2.8;2.18;0.5;8;8;8;;18;5.1
low;male;Both;no;8.2;1.2;2.83;1.2;5;9;9;;19;4.7
low;male;Both;no;8.2;2.7;2.84;0.2;2;4;1;;17;1.1
high;male;TikTok;no;8.2;2.6;3.05;1;4;7;2;;16;4.7
high;female;Both;no;8.2;0.7;2.88;0.8;1;7;7;;17;6.6
low;male;Both;no;8.2;1.5;2.13;1;3;2;2;;16;4.6
low;female;Both;no;8.2;2.7;3.13;0.3;3;1;2;;17;4.4
low;female;Instagram;no;8.2;2.3;3.35;0.6;6;2;5;;15;4.7
low;female;Both;no;8.2;1;3.15;0.9;9;7;10;;16;2
low;female;TikTok;no;8.2;1.4;3.63;1.3;5;3;10;;19;4
low;female;Instagram;no;8.2;2.9;3.69;1;6;2;5;;17;7.2
low;female;Instagram;no;8.2;1.9;3.87;1.9;2;9;8;;18;5.3
low;male;Instagram;no;8.2;2.3;2.48;0.9;5;8;9;;13;2.9
high;female;Instagram;no;8.2;0.5;3.15;1.2;8;7;7;;18;5.5
high;female;Instagram;no;8.3;1.6;2.91;0.6;10;2;6;;13;2.5
low;female;Both;no;8.3;2.3;3.47;1.6;4;8;5;;16;5.5
medium;male;Instagram;no;8.3;0.6;3.05;0.3;2;7;8;;13;6.5
high;female;Both;no;8.3;1.3;2.21;1.2;4;5;9;;13;6.4
high;male;TikTok;no;8.3;1;3.95;1.2;4;1;1;;17;1.3
low;male;Instagram;no;8.3;2.1;3.09;1.5;9;7;3;;19;7
medium;female;Both;no;8.3;2.7;3.9;0.7;3;1;5;;14;3
high;male;Instagram;no;8.3;2.4;3.34;1.2;2;4;9;;15;6.9
medium;female;Instagram;no;8.3;0.6;3.71;0.1;2;6;1;;13;4
high;male;Both;no;8.3;1.4;3.64;0.4;6;9;6;;19;7.4
low;female;Both;no;8.3;2.6;3.19;2;1;2;2;;15;3.8
low;male;Both;no;8.3;2.8;2.63;0.6;5;3;7;;13;5.8
high;male;Instagram;no;8.4;1.3;2.01;0.6;6;3;8;;14;2.7
medium;male;Instagram;no;8.4;1.7;2.46;0.1;6;9;3;;19;3.5
medium;female;Both;no;8.4;2.4;2.84;0.7;5;4;9;;18;5.7
low;female;TikTok;no;8.4;1.4;3.47;0.1;1;6;6;;13;1.6
low;female;Both;no;8.4;1.2;2.61;0;3;10;2;;15;4.2
medium;male;Instagram;no;8.4;1.6;2.82;1.1;1;3;2;;13;2.4
medium;male;Both;no;8.4;2.2;2.81;0.6;2;8;8;;16;5.3
high;male;TikTok;no;8.4;2.6;2.57;1.8;4;1;3;;18;2.9
medium;female;Instagram;no;8.4;0.9;3.2;1.6;10;10;1;;14;4.3
low;female;TikTok;no;8.4;3;2.46;1.5;1;7;6;;19;1.5
medium;female;Both;no;8.4;2.1;3.4;0.2;1;3;10;;17;3.3
medium;female;TikTok;no;8.4;1.9;3.9;1;4;10;6;;15;4.7
medium;male;Both;no;8.4;2;2.6;1.5;7;2;2;;19;6.8
high;male;TikTok;no;8.4;2.8;3.43;0.2;7;6;6;;19;7.7
medium;female;TikTok;no;8.4;2.1;3.15;2;4;10;1;;19;6.8
medium;female;TikTok;no;8.4;1.3;2.48;0.9;5;2;4;;15;5.7
high;male;Both;no;8.4;1.5;2.83;1.2;9;4;5;;18;2
medium;female;Both;no;8.4;1.6;2.03;1.5;5;3;9;;13;6.3
medium;female;TikTok;no;8.4;0.6;3.08;0.4;9;4;6;;19;5.3
low;male;TikTok;no;8.4;1.9;3.73;0.8;9;9;4;;15;7.4
high;female;Instagram;no;8.4;2.1;2.69;0.2;1;10;8;;18;4.3
